Tissue	Tissue group	Organ
postcentral gyrus	cerebral cortex	Brain
temporal cortex	cerebral cortex	Brain
occipital cortex	cerebral cortex	Brain
retrosplenial cortex	cerebral cortex	Brain
frontal cortex	cerebral cortex	Brain
ventromedial prefrontal cortex	cerebral cortex	Brain
dorsomedial prefrontal cortex	cerebral cortex	Brain
dorsolateral prefrontal cortex	cerebral cortex	Brain
ventrolateral prefrontal cortex	cerebral cortex	Brain
frontopolar cortex	cerebral cortex	Brain
frontomarginal cortex	cerebral cortex	Brain
gyrus rectus	cerebral cortex	Brain
orbitofrontal gyrus, medial	cerebral cortex	Brain
orbitofrontal gyrus, lateral	cerebral cortex	Brain
inferior frontal gyrus, orbital	cerebral cortex	Brain
anterior cingulate gyrus, pregenual-dorsal	cerebral cortex	Brain
anterior cingulate gyrus, pregenual-ventral	cerebral cortex	Brain
anterior cingulate gyrus, subgenual	cerebral cortex	Brain
orbitofrontal gyrus, posterior	cerebral cortex	Brain
inferior frontal gyrus, triangular	cerebral cortex	Brain
subcallosal gyrus	cerebral cortex	Brain
superior frontal gyrus	cerebral cortex	Brain
parietal cortex	cerebral cortex	Brain
orbitofrontal gyrus, anterior	cerebral cortex	Brain
middle frontal gyrus	cerebral cortex	Brain
posterior cingulate cortex	cerebral cortex	Brain
angular gyrus	cerebral cortex	Brain
anterior cingulate cortex, supragenual-dorsal	cerebral cortex	Brain
anterior cingulate cortex, supragenual-ventral	cerebral cortex	Brain
anterior insular cortex, dorsal	cerebral cortex	Brain
anterior insular cortex, ventral	cerebral cortex	Brain
area parastriata, inferior	cerebral cortex	Brain
area parastriata, parietal	cerebral cortex	Brain
area parastriata, superior	cerebral cortex	Brain
area parastriata, temporal	cerebral cortex	Brain
area striata	cerebral cortex	Brain
frontal eye field	cerebral cortex	Brain
frontal operculum	cerebral cortex	Brain
fusiform gyrus	cerebral cortex	Brain
inferior frontal gyrus, opercular	cerebral cortex	Brain
inferior parietal lobule	cerebral cortex	Brain
inferior temporal gyrus	cerebral cortex	Brain
intraparietal deep sulcus	cerebral cortex	Brain
lingual gyrus	cerebral cortex	Brain
middle cingulate cortex	cerebral cortex	Brain
middle temporal gyrus	cerebral cortex	Brain
paracentral lobule, anterior	cerebral cortex	Brain
paracentral lobule, posterior	cerebral cortex	Brain
parietal operculum	cerebral cortex	Brain
parieto-insular cortex	cerebral cortex	Brain
parieto-occipital transitional area	cerebral cortex	Brain
piriform cortex	cerebral cortex	Brain
postcentral gyrus, dorsal	cerebral cortex	Brain
postcentral gyrus, middle	cerebral cortex	Brain
postcentral gyrus, ventral	cerebral cortex	Brain
posterior cingulate cortex, dorsal	cerebral cortex	Brain
posterior cingulate cortex, ventral	cerebral cortex	Brain
posterior insular cortex	cerebral cortex	Brain
precentral gyrus	cerebral cortex	Brain
precentral gyrus, dorsal	cerebral cortex	Brain
precentral gyrus, middle	cerebral cortex	Brain
precentral gyrus, ventral	cerebral cortex	Brain
precuneus	cerebral cortex	Brain
premotor cortex, dorsal	cerebral cortex	Brain
premotor cortex, ventral	cerebral cortex	Brain
subcentral gyrus, S2	cerebral cortex	Brain
superior parietal lobule	cerebral cortex	Brain
superior temporal gyrus	cerebral cortex	Brain
supplementary motor cortex	cerebral cortex	Brain
supramarginal gyrus	cerebral cortex	Brain
temporal pole	cerebral cortex	Brain
temporo-insular cortex, parainsular gyrus	cerebral cortex	Brain
temporo-occipital transitional zone	cerebral cortex	Brain
transversal temporal gyrus, anterior	cerebral cortex	Brain
transversal temporal gyrus, posterior	cerebral cortex	Brain
olfactory area	cerebral cortex	Brain
amygdala	amygdala	Brain
basal amygdala	amygdala	Brain
stria terminalis, bed nucleus	amygdala	Brain
central amygdala	amygdala	Brain
corticomedial amygdala	amygdala	Brain
lateral amygdala	amygdala	Brain
nucleus accumbens	basal ganglia	Brain
putamen	basal ganglia	Brain
caudate nucleus	basal ganglia	Brain
claustrum	basal ganglia	Brain
globus pallidus, externus	basal ganglia	Brain
globus pallidus, internus	basal ganglia	Brain
nucleus basalis of Meynert	basal ganglia	Brain
nucleus of the diagonal band	basal ganglia	Brain
olfactory tubercle	basal ganglia	Brain
septal nuclei	basal ganglia	Brain
anterior thalamic nucleus, ventral	thalamus	Brain
centromedial thalamic nucleus	thalamus	Brain
habenula	thalamus	Brain
lateral geniculate body	thalamus	Brain
lateral thalamic nuclei	thalamus	Brain
medial dorsal thalamic nucleus	thalamus	Brain
medial geniculate body	thalamus	Brain
nucleus reuniens	thalamus	Brain
nucleus rhomboideus	thalamus	Brain
posterior thalamic nucleus	thalamus	Brain
pulvinar	thalamus	Brain
subthalamic nucleus	thalamus	Brain
ventral posterolateral thalamic nucleus	thalamus	Brain
ventral posteromedial thalamic nucleus	thalamus	Brain
ventral thalamic nuclei	thalamus	Brain
ventromedial nucleus	thalamus	Brain
zona incerta	thalamus	Brain
arcuate nucleus	hypothalamus	Brain
dorsomedial nucleus	hypothalamus	Brain
lateral hypothalamic area	hypothalamus	Brain
mamillary body	hypothalamus	Brain
paraventricular nucleus	hypothalamus	Brain
preoptic area	hypothalamus	Brain
suprachiasmatic nucleus	hypothalamus	Brain
supraoptic nucleus	hypothalamus	Brain
substantia nigra	midbrain	Brain
cuneiform nucleus	midbrain	Brain
dorsal raphe nucleus	midbrain	Brain
inferior colliculus	midbrain	Brain
median raphe nucleus	midbrain	Brain
pedunculopontine tegmental nucleus	midbrain	Brain
periaquaductal grey, anterior	midbrain	Brain
periaquaductal grey, dorsal	midbrain	Brain
periaquaductal grey, lateral	midbrain	Brain
pretectal area	midbrain	Brain
red nucleus	midbrain	Brain
superior colliculus	midbrain	Brain
ventral tegmental area	midbrain	Brain
locus coeruleus	pons	Brain
anterior cochlear nucleus, ventral	pons	Brain
dorsal cochlear nucleus	pons	Brain
dorsal tegmental nucleus	pons	Brain
dorsolateral tegmental area	pons	Brain
Kolliker-Fuse nucleus	pons	Brain
lateral lemniscal nuclei	pons	Brain
lateral parabrachial nucleus	pons	Brain
lateral vestibular nucleus	pons	Brain
medial olivary nucleus	pons	Brain
medial parabrachial nucleus	pons	Brain
medial periolivary nuclei	pons	Brain
motor facial nucleus	pons	Brain
motor trigeminal nucleus	pons	Brain
nuclei of the trapezoid body	pons	Brain
paramedian reticular nucleus	pons	Brain
pontine nuclei	pons	Brain
pontine raphe nucleus	pons	Brain
posteroventral cochlear nucleus	pons	Brain
principal sensory trigeminal nucleus	pons	Brain
reticular pontine nucleus, caudal	pons	Brain
reticular pontine nucleus, oral	pons	Brain
reticulotegmental nucleus	pons	Brain
spinal trigeminal nucleus, oral	pons	Brain
subcoeruleus area	pons	Brain
superior olive	pons	Brain
superior vestibular nucleus	pons	Brain
ventral periolivary nuclei	pons	Brain
ventrolateral tegmental area, A5 NE cell group	pons	Brain
area postrema	medulla oblongata	Brain
cuneate nuclei	medulla oblongata	Brain
dorsal medullary reticular nucleus	medulla oblongata	Brain
dorsal motor vagal complex	medulla oblongata	Brain
gigantocellular reticular nuclei, medullary	medulla oblongata	Brain
gigantocellular reticular nuclei, pars	medulla oblongata	Brain
inferior olive	medulla oblongata	Brain
lateral medullary reticular nucleus	medulla oblongata	Brain
medial vestibular nucleus	medulla oblongata	Brain
motor hypoglossal nucleus	medulla oblongata	Brain
nucleus ambiguus	medulla oblongata	Brain
nucleus cuneatus	medulla oblongata	Brain
nucleus gracilis	medulla oblongata	Brain
nucleus raphe magnus	medulla oblongata	Brain
nucleus raphe obscurus	medulla oblongata	Brain
nucleus raphe pallidus	medulla oblongata	Brain
nucleus tractus solitarii	medulla oblongata	Brain
parvicellular reticular nuclei	medulla oblongata	Brain
parvicellular reticular nuclei, medullary	medulla oblongata	Brain
peritrigeminal nucleus	medulla oblongata	Brain
prepositus hypoglossal nucleus	medulla oblongata	Brain
spinal trigeminal nucleus, caudal	medulla oblongata	Brain
spinal trigeminal nucleus, interpolar	medulla oblongata	Brain
spinal vestibular nucleus	medulla oblongata	Brain
ventral medullary reticular nucleus	medulla oblongata	Brain
ventrolateral medulla, A1-C1 cell groups	medulla oblongata	Brain
cerebellar cortex	cerebellum	Brain
cerebellar nuclei	cerebellum	Brain
flocculonodular lobe	cerebellum	Brain
vermis	cerebellum	Brain
hippocampus	hippocampal formation	Brain
subiculum	hippocampal formation	Brain
dentate gyrus	hippocampal formation	Brain
entorhinal gyrus	hippocampal formation	Brain
hippocampus, CA1	hippocampal formation	Brain
hippocampus, CA2	hippocampal formation	Brain
hippocampus, CA3	hippocampal formation	Brain
parahippocampal cortex	hippocampal formation	Brain
perirhinal gyrus	hippocampal formation	Brain
cervical spinal cord, central gray	spinal cord	Brain
cervical spinal cord, dorsal horn	spinal cord	Brain
cervical spinal cord, ventral horn	spinal cord	Brain
anterior funiculus (white matter)	white matter	Brain
cerebellar white matter	white matter	Brain
corpus callosum, genu (white matter)	white matter	Brain
corpus callosum, splenium (white matter)	white matter	Brain
dorsal funiculus (white matter)	white matter	Brain
lateral funiculus (white matter)	white matter	Brain
parieto-temporal junction (white matter)	white matter	Brain
temporal white matter	white matter	Brain
angular gyrus (white matter)	white matter	Brain
area striata (white matter)	white matter	Brain
fusiform gyrus (white matter)	white matter	Brain
occipital cortex (white matter)	white matter	Brain
parahippocampal cortex (white matter)	white matter	Brain
somatosensory cortex, postcentral gyrus, ventral (white matter)	white matter	Brain
somatomor cortex, precentral gyrus (white matter)	white matter	Brain
temporal cortex (white matter)	white matter	Brain
choroid plexus	choroid plexus	Brain
liver	liver	Liver & Gallbladder
gallbladder	gallbladder	Liver & Gallbladder
pancreas	Pancreas	Pancreas
salivary gland	salivary gland	Proximal digestive tract
esophagus	esophagus	Proximal digestive tract
stomach 1	stomach 1	Gastrointestinal tract
kidney	kidney	Kidney & Urinary bladder
urinary bladder	urinary bladder	Kidney & Urinary bladder
testis	testis	Male reproductive system
epididymis	epididymis	Male reproductive system
prostate	prostate	Male reproductive system
seminal vesicle	seminal vesicle	Male reproductive system
breast	breast	Breast and female reproductive system
cervix	cervix	Breast and female reproductive system
endometrium 1	endometrium 1	Breast and female reproductive system
fallopian tube	fallopian tube	Breast and female reproductive system
ovary	ovary	Breast and female reproductive system
placenta	placenta	Breast and female reproductive system
adipose tissue	adipose tissue	Connective & Soft tissue
skin 1	skin 1	Skin
bone marrow	bone marrow	Bone marrow & Lymphoid tissues
thyroid gland	thyroid gland	Endocrine tissues
parathyroid gland	parathyroid gland	Endocrine tissues
adrenal gland	adrenal gland	Endocrine tissues
lung	lung	Respiratory system
heart muscle	heart muscle	Muscle tissues
skeletal muscle	skeletal muscle	Muscle tissues
smooth muscle	smooth muscle	Muscle tissues
tongue	tongue	Proximal digestive tract
duodenum	intestine	Gastrointestinal tract
small intestine	intestine	Gastrointestinal tract
colon	intestine	Gastrointestinal tract
rectum	intestine	Gastrointestinal tract
appendix	lymphoid tissue	Bone marrow & Lymphoid tissues
lymph node	lymphoid tissue	Bone marrow & Lymphoid tissues
tonsil	lymphoid tissue	Bone marrow & Lymphoid tissues
spleen	lymphoid tissue	Bone marrow & Lymphoid tissues
thymus	lymphoid tissue	Bone marrow & Lymphoid tissues
